xPos,stimulusSet,whichImage,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,introinstructions.started,intro_key.started,demo_image_left.started,demo_image_middle.started,demo_image_right.started,intro.stopped,intro_key.keys,intro_key.rt,intro_key.duration,block_start.started,block_start.stopped,trial.started,key_resp.started,middle_image.started,right_image.started,left_image.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,direction,angle,reversal_intensities,number_reversals,stimulus,response,correct,blockNumber,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,False,0.0741528,0.0853072,0.0853072,0.0853072,0.0853072,0.0853072,1873.135048,space,1872.887754,0.1525876,,,,,,,,,,,,,,,,,,,,,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,0,0,0,f,0,2.2680291,None,0,0,0,0,0,0,0,0,1873.905181,,,,,,,,,,,,,1873.78397,1873.784108,1873.894753,1873.905181,1873.905181,1873.905181,1874.784304,1876.184657,f,0,2.2680291,None,direct,20,[],0,shifteddirectgaze.png,f,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,1,0,1,f,1,2.133443,None,0,0,0,0,1,0,1,0,1876.399804,,,,,,,,,,,,,,,1876.389165,1876.399804,1876.399804,1876.399804,1877.200912,1878.534818,f,1,2.133443,None,right,20,[20],1,shiftedgaze_R_20.png,f,1,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,2,0,2,j,0,1.7833832,None,0,0,0,0,2,0,2,0,1878.741773,,,,,,,,,,,,,,,1878.731663,1878.741773,1878.741773,1878.741773,1879.534238,1880.534687,j,0,1.7833832,None,right,19,"[20, 19]",2,shiftedgaze_R_19.png,j,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,3,0,3,j,0,1.9332788,None,0,0,0,0,3,0,3,0,1880.647836,,,,,,,,,,,,,,,1880.637136,1880.647836,1880.647836,1880.647836,1881.534226,1882.584551,j,0,1.9332788,None,right,20,"[20, 19]",2,shiftedgaze_R_20.png,j,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,4,0,4,f,0,1.9827623,None,0,0,0,0,4,0,4,0,1882.686326,,,,,,,,,,,,,,,1882.675548,1882.686326,1882.686326,1882.686326,1883.584364,1884.684625,f,0,1.9827623,None,direct,20,"[20, 19]",2,shifteddirectgaze.png,f,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,5,0,5,f,0,2.6362401,None,0,0,0,0,5,0,5,0,1884.78488,,,,,,,,,,,,,,,1884.774121,1884.78488,1884.78488,1884.78488,1885.685015,1887.434548,f,0,2.6362401,None,direct,20,"[20, 19]",2,shifteddirectgaze.png,f,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,6,0,6,j,0,2.1293601,None,0,0,0,0,6,0,6,0,1887.72373,,,,,,,,,,,,,,,1887.711846,1887.72373,1887.72373,1887.72373,1888.434178,1889.867884,j,0,2.1293601,None,left,20,"[20, 19]",2,shiftedgaze_L_20.png,j,0,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,7,0,7,j,1,2.3327674,None,0,0,0,0,7,0,7,0,1889.984294,,,,,,,,,,,,,,,1889.972549,1889.984294,1889.984294,1889.984294,1890.867577,1892.317731,j,1,2.3327674,None,direct,20,"[20, 19, 20]",3,shifteddirectgaze.png,j,1,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
4.5,ecc10pos,left,8,0,8,f,1,2.4736995,None,0,0,0,0,8,0,8,0,1892.427589,,,,,,,,,,,,,,,1892.417583,1892.427589,1892.427589,1892.427589,1893.317278,1894.917715,f,1,2.4736995,None,right,19,"[20, 19, 20]",3,shiftedgaze_R_19.png,f,1,1,results23,1,2026-04-20_09h59.32.952,mogelijke versie adaptive staircase builder,,2026.1.3,60.01439145,2026-04-20 09h59.33.698788 +0200
